6522545
/m/0g8qgw
/m/0g8qgw
Thomas Carlyle

1 1
12thcentury 1
2 1
3 1
4 1
a 3
abbacy 1
abbey 1
abbot 2
able 1
about 1
abundant 1
allusions 1
an 2
ancient 1
and 10
are 1
argues 2
aristocracy 1
as 8
became 1
become 1
befallen 1
blockheads 1
bobus 1
book 4
brakelond 1
bury 1
but 1
by 2
caricatures 1
carlyle 8
chronicle 1
chronicled 1
class 1
classical 1
complains 1
concept 1
concludes 1
condition 1
contemporary 1
contrast 1
contrasts 1
deeds 1
describes 1
despite 2
details 1
diligently 1
dry 1
dryasdust 1
earnestly 1
economic 1
edmunds 1
election 1
elevated 1
end 1
england 2
english 1
englishmen 1
esteem 1
evinced 1
experience 1
expresses 1
external 1
fictional 2
find 1
first 1
formal 1
former 1
from 1
genuine 1
guide 1
had 1
he 2
heroes 1
heroic 1
heroworship 1
his 5
historian 1
history 4
horoscope 1
hugo 1
ideas 1
in 4
insurrection 1
invoking 1
jabesh 1
jocelin 1
knowledge 1
leadership 2
line 1
lives 1
lowly 1
maladies 1
manchester 1
meaningful 1
men 1
midas 1
modern 1
monk 3
monks 1
must 1
narrative 1
nation 1
needs 1
no 1
of 12
on 1
or 1
order 1
overcome 1
poor 1
presents 2
primitive 1
proem 1
promote 1
quacks 1
question 1
rather 2
recognize 1
refers 1
repeatedly 2
resources 1
rhetorical 1
rule 1
ruling 1
samson 2
sir 1
sphinx 1
spiritual 1
st 1
starving 1
style 2
such 2
superstitions 1
supports 1
talent 1
than 2
that 5
the 20
their 1
them 1
themselves 1
they 1
this 2
to 9
tottington 1
training 1
true 1
unable 1
under 1
were 1
who 2
windbag 1
with 3
work 1
worked 1
worker 1
