6572984
/m/0gc32p
/m/0gc32p
Steven Erikson
2007-05-07
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/05hgj": "Novel"}
a 9
about 1
acting 1
after 1
aimed 1
all 3
also 2
among 2
an 1
and 34
andii 1
anict 1
apparently 1
appear 1
are 2
arm 1
army 3
around 1
assessor 1
at 2
attack 1
away 1
awl 3
azath 2
back 1
barghast 2
battle 1
beak 1
beat 1
because 1
before 1
begins 1
being 1
believes 1
ben 2
bentract 1
better 1
big 2
blood 1
brainsucked 1
broken 1
brother 1
brullyg 1
brys 3
buildings 1
but 8
by 6
cabal 1
can 3
catchers 1
challenge 1
challengers 2
champions 1
chemalle 1
children 1
city 1
clip 3
coast 1
colliseum 1
come 1
coming 1
comments 1
commits 1
confident 1
confronts 1
crippled 3
cult 1
cultures 1
cussers 1
dead 2
deadsmell 1
debris 1
decided 1
declared 1
defeats 2
defend 1
descended 1
destroy 1
dev 2
die 3
dies 3
directly 2
do 1
doing 1
doubting 1
dozen 1
drowns 1
dying 1
edur 3
emperor 1
enters 1
entrance 1
errant 2
eventually 1
ever 1
except 3
explodes 2
fear 3
feather 1
fiddler 1
fights 2
final 1
finnest 2
flees 1
fleet 1
flips 1
for 5
forces 1
forging 1
found 2
from 5
gets 1
ghosts 1
giant 1
girl 1
gives 1
gnol 1
go 2
god 3
good 1
group 1
guardians 1
guild 1
had 1
hannan 1
has 1
have 2
having 1
he 1
hedge 2
her 2
herself 1
him 4
himself 3
his 5
home 2
huntress 1
icarium 6
ie 1
imass 1
in 4
include 1
indirectly 1
initially 1
injury 1
inside 1
into 1
invictad 1
is 8
island 2
it 5
janath 1
kanar 1
karos 1
karsa 6
kchain 1
kettle 2
kilava 1
kill 2
killed 2
kills 3
king 1
knife 1
krul 1
laederon 1
later 1
learn 1
left 1
letheras 2
letheri 5
letur 1
liked 1
long 1
magic 2
maiden 1
main 2
make 3
makes 2
making 1
malazan 1
manipulate 1
marines 2
marries 1
menandore 2
midbattle 1
mierci 1
moi 1
monk 1
more 1
mortal 1
mosag 1
nachts 1
name 2
near 1
new 2
no 1
not 1
of 11
one 1
ones 2
onrack 1
or 1
original 1
orlong 1
out 2
outwards 1
pals 1
pays 1
people 4
pinosel 1
place 1
plan 1
plwicher 1
portal 2
power 1
pral 1
princess 1
promptly 1
pronounced 1
queen 1
quick 2
rat 1
real 1
really 1
recover 1
redmask 2
refugium 2
refusing 1
replicate 1
rest 2
restrain 1
retreats 1
return 1
returns 1
rhulad 5
running 1
sacrifices 1
samar 3
save 2
scabandari 2
seagod 1
seed 1
seguleh 2
senior 1
seren 2
severs 1
shake 3
she 4
sheltatha 2
shore 1
shout 1
show 1
shows 1
silchas 3
since 1
sirryn 1
slaps 1
slaughter 1
slitting 1
slowly 1
so 4
some 1
soul 1
stabbed 1
stabbing 1
stabs 1
start 1
starts 1
strangely 1
stuck 1
sucked 1
suddenly 1
sukul 2
surrenders 1
sword 5
synopsis 1
take 2
takes 1
taralack 3
taun 2
team 1
teams 1
tehol 2
teleport 1
tent 1
that 1
the 53
their 1
them 4
then 2
there 2
they 3
this 1
thoughtsbrainsetc 1
three 1
through 1
time 1
tiste 1
tlan 1
to 15
toc 1
tool 1
travel 1
triban 1
tries 2
trull 3
try 1
twilight 1
two 1
udinaas 1
ulshun 1
unconscious 1
undead 1
unites 1
up 5
urkel 1
uses 1
usurp 1
vaguely 1
varat 2
various 1
veed 3
walking 1
walks 1
wanted 1
war 1
warns 1
warrens 1
was 1
wave 2
we 1
were 1
what 1
where 1
which 2
white 1
who 4
will 2
win 1
witch 1
with 4
withal 2
wither 3
witnessed 1
wounded 1
wrists 1
