6899654
/m/0gw44x
/m/0gw44x
Carolyn Keene
1943
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 4
about 1
adventures 1
age 1
alexandra 1
also 1
an 2
and 1
antique 1
asks 1
at 1
begins 1
box 1
dangerous 1
dealer 1
exciting 1
exile 1
faded 1
family 1
for 1
former 1
four 1
grandson 1
heights 1
heirloom 1
helps 1
her 2
imposter 1
in 3
jewel 1
leads 1
lives 1
longlost 1
madame 1
nancy 4
of 2
old 2
on 1
photo 1
priceless 1
prince 1
queen 1
reunite 1
revelation 1
river 1
search 2
secret 1
separated 1
series 1
slick 1
the 3
to 1
unveil 1
using 1
who 1
yet 1
