6914957
/m/0gwvqd
/m/0gwvqd
Carolyn Keene
1974
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/0dwly": "Children's literature"}
a 5
accepts 1
also 1
and 1
away 1
bess 1
bizarre 1
boyfriend 1
but 1
case 1
contend 1
criminal 2
dangerous 1
eagerly 1
eye 1
father 1
female 1
for 1
from 1
george 1
glowing 1
handwriting 1
has 2
help 1
her 2
highhanded 1
in 1
it 1
kidnapping 1
knowing 1
lawyer 1
lead 1
methods 1
must 1
mysterious 1
mystery 1
nancy 4
ned 2
no 1
not 1
note 1
of 4
on 1
only 1
puzzling 1
search 1
sets 1
she 1
solve 1
take 1
that 1
the 5
threatens 1
thwart 1
to 5
way 1
when 1
who 1
will 1
