7221071
/m/025wkxb
/m/025wkxb
Andrew Clements
1999
5th 1
a 11
about 2
after 1
afterward 1
allowing 1
also 1
amendment 1
an 4
and 9
anyone 1
apathetic 1
are 2
article 5
as 5
asked 1
asks 1
at 5
auditorium 1
author 1
away 1
bad 1
banned 1
barnes 1
be 2
because 3
become 1
been 2
beforehand 1
better 1
between 1
brave 1
but 2
by 1
came 1
cara 10
certainly 1
children 2
class 2
classroom 1
clear 1
comes 1
computer 1
concerned 1
continues 1
could 3
day 2
defense 1
denton 1
disapproves 1
discovers 1
divorce 2
divorced 1
do 2
dr 1
during 2
each 1
edition 2
editorial 3
elementary 1
else 1
enough 1
even 2
evening 2
every 1
exactly 1
expands 1
explaining 1
explains 1
eye 1
eyes 3
fact 1
far 1
fedup 1
feel 1
felt 1
fired 1
first 4
for 5
form 2
found 2
friend 2
friends 1
from 1
furious 1
going 1
grade 1
had 7
handles 1
hands 1
happened 1
has 2
have 1
he 8
headline 1
hearing 4
help 1
her 10
him 2
himself 1
his 6
home 1
how 3
if 3
in 6
individual 1
interviewed 1
is 15
it 8
its 1
job 1
keeping 1
kids 1
landry 3
larson 8
last 1
later 2
layout 1
like 1
lost 1
loud 1
love 1
loves 1
mainly 1
makes 1
media 1
merciless 1
michael 3
mother 1
mr 7
name 1
named 1
new 1
newlyfound 1
news 2
newspaper 7
no 1
nor 1
nothing 1
novel 1
of 7
old 2
on 1
once 1
one 2
only 2
opens 1
out 2
over 1
own 1
paper 1
parent 1
parents 2
peak 1
personally 1
planned 1
point 1
possibly 1
printed 1
project 1
proof 1
publicity 1
published 1
publishes 1
ran 1
read 2
reads 1
realized 1
realizes 1
receives 1
returns 1
revealing 1
save 1
say 1
says 1
school 1
seems 1
shares 1
sharper 1
she 10
so 3
soon 1
special 1
stopped 1
story 6
strongly 1
student 1
teach 1
teacher 2
teachers 1
teaches 1
teaching 2
tears 2
than 1
that 12
the 32
then 3
they 2
thing 1
this 1
thought 1
time 1
title 1
titled 2
to 11
too 2
topquality 1
true 1
truth 1
tvand 1
up 1
vindicated 1
wanted 1
was 2
way 1
ways 1
well 1
were 1
what 2
when 6
whiz 1
who 4
why 1
with 7
writes 1
written 2
wrote 2
year 1
