7269300
/m/025xt5t
/m/025xt5t
Terry Southern
1959
a 22
about 1
across 1
activities 1
actor 3
actors 1
actually 1
add 1
adventure 1
advertising 1
african 1
after 2
afterward 1
agency 1
all 3
also 1
amount 1
amounts 1
an 6
and 23
animals 1
another 1
appear 1
arbitrarily 1
are 1
areas 1
around 2
articles 1
as 4
at 2
audience 1
available 1
back 2
bad 1
be 1
been 1
before 1
begin 1
begins 3
being 1
best 1
big 2
bigger 1
bill 1
billionaire 1
bills 2
board 1
bold 1
bomb 1
braving 1
break 1
brick 1
built 1
bulk 1
burden 1
buy 1
buying 1
buys 3
by 5
calmeven 1
campaign 1
can 1
captain 1
carrying 1
catering 1
causing 1
change 1
changes 1
chatter 1
chauffeur 1
christian 1
city 1
clients 1
clothing 1
comedy 1
comes 1
comment 1
commentary 1
company 2
complete 1
contessa 1
control 1
cosmetics 1
crew 1
critics 1
customers 1
cuts 1
defiling 1
demanding 1
denominations 1
depends 1
designed 1
detrimental 1
deviate 1
dignity 1
discounts 1
disturbing 1
does 1
dogs 1
dollar 1
down 1
downtown 2
drastic 1
dressed 1
dry 1
eat 1
eccentric 1
edits 1
effect 1
elaborate 1
empty 1
end 1
enormous 1
escapades 1
even 1
ever 1
everyone 2
executive 1
facts 1
family 1
favorite 1
favorites 1
feces 1
fills 1
final 1
firing 1
first 2
follow 1
food 1
foot 1
for 6
foreign 1
fourth 1
from 3
front 1
furor 1
game 1
ghetto 1
good 1
gradually 1
grand 12
groceries 1
grocery 1
guy 1
habit 1
handing 1
harshly 1
has 6
hate 1
have 2
having 1
he 7
heads 1
her 3
hergraffiti 1
him 1
himself 2
his 7
history 1
horrible 1
hot 1
hours 2
howitzer 1
huge 1
if 1
illegally 1
immaculately 1
in 10
innovative 1
inserted 1
insists 1
installs 1
into 4
irregularly 1
is 5
it 7
italian 1
its 1
jokes 1
just 2
keep 1
language 1
large 1
later 1
laugh 1
launches 1
leave 1
like 2
limiting 1
liner 1
lists 1
live 1
local 1
losing 1
lot 1
luxury 1
magic 1
mail 1
major 1
makes 1
marking 1
mind 1
mixed 1
moment 1
money 2
more 1
most 1
move 1
movies 1
muck 1
native 1
natives 1
new 2
newspaper 1
no 1
not 1
notables 1
notice 1
of 9
off 1
offal 1
offering 1
officer 1
offices 1
on 9
one 4
only 3
opera 1
other 1
out 5
overlylarge 1
park 1
passage 2
passages 1
passengers 1
pay 1
pays 1
pennies 1
people 2
perimeter 1
perverse 1
pheromonebased 1
place 1
playing 2
pleasure 1
popular 1
port 1
potatoes 1
practical 1
praise 1
pranks 1
prepared 1
president 1
priceit 1
prices 1
printing 1
produced 1
prominent 1
promotional 1
prove 1
pulls 1
purchases 1
pygmy 1
qualifications 1
quality 1
railway 1
raucously 1
received 1
register 1
rejects 2
remain 1
remodeled 1
reporting 1
requests 1
resemble 1
respectable 1
responds 1
returning 1
ruining 1
run 1
safari 1
same 2
scent 1
script 1
scurry 1
secretly 1
selected 1
sending 1
set 2
several 1
shampoo 1
ship 3
show 2
showing 1
shown 1
simply 1
smell 1
soap 1
social 1
some 1
speed 1
spender 1
spends 1
spraying 1
squirrel 1
ss 1
staff 1
station 1
stench 1
stink 1
stock 1
store 1
stores 1
strangers 1
stunts 1
subscribers 1
sums 1
superrich 1
supposedly 1
surgeon 1
takes 3
television 1
terms 1
than 1
that 1
the 41
theaters 1
their 3
them 4
themselves 2
then 8
theory 1
they 1
those 1
three 2
through 1
ticket 1
ticketed 1
time 1
timerelease 1
to 24
tongue 1
top 3
train 2
treat 1
turns 4
under 1
unmounted 1
until 1
unusual 1
up 2
use 2
vacant 1
vacation 1
vendor 1
vendors 1
very 1
viewers 1
viewing 1
wading 1
walk 1
wall 2
walls 1
watch 1
watching 2
way 1
wearers 1
weeks 1
when 4
which 2
while 1
who 3
will 2
with 4
within 1
wops 1
writing 1
york 1
