7310111
/m/025yv18
/m/025yv18
Jane Lindskold
2002
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
2001 1
2002 1
2003 1
2004 1
2006 1
2007 1
a 3
after 3
afterwards 1
aid 1
almost 1
along 1
already 1
an 1
and 9
anybody 1
are 3
artifacts 4
as 4
assassinated 1
assassins 2
at 1
baron 3
battle 1
bear 1
because 1
between 1
blood 1
blysse 1
books 1
breaks 1
bright 1
brought 1
but 1
by 11
capture 1
captured 1
care 1
case 1
citrine 3
comes 1
control 1
court 1
cut 1
daughter 1
derian 1
despair 1
diplomacy 1
dragon 1
elise 1
end 1
endbrook 3
ensuing 1
evil 1
eyes 1
fingers 1
firekeeper 5
follows 1
for 3
forming 1
found 1
friends 2
from 2
give 1
go 1
goes 1
gone 1
good 1
greater 1
hand 1
has 3
haven 1
head 1
heart 1
her 10
his 1
hostage 1
however 1
human 1
humans 1
hunting 1
in 7
insane 1
intelligent 1
interested 2
is 3
jane 6
jared 1
join 1
just 1
kingdom 2
lady 3
languageusing 1
learn 1
leaves 1
left 1
lindskold 6
longs 1
loyal 1
magical 1
manages 1
melina 2
message 1
monarchs 1
more 1
name 1
newly 1
not 1
of 10
off 2
one 1
other 2
over 1
pack 1
plan 1
politics 1
power 1
prince 1
princess 1
purposes 1
queen 2
rescue 1
retrieves 1
returns 1
royal 1
sapphire 1
save 1
series 1
shad 1
she 4
shield 2
since 1
sir 1
smallest 1
soon 1
sorcery 1
start 1
stolen 1
subjects 1
successfully 1
summoning 1
the 17
their 1
them 3
they 2
things 1
three 1
through 1
time 1
to 6
together 1
treason 1
two 1
uncovering 1
unfortunately 1
up 1
urgent 1
use 1
valora 2
value 1
was 1
watch 1
wedding 1
who 1
with 1
wolf 6
wolves 2
would 2
wrong 1
yet 1
young 1
