7331057
/m/025zdd_
/m/025zdd_
Sara Douglass
1999
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 5
also 1
although 1
always 1
and 8
are 1
as 1
at 2
axis 3
azhure 1
baby 1
begins 2
below 1
bowl 1
bridge 1
by 1
caelum 2
chasm 1
death 1
departure 1
dies 1
discontented 1
do 1
does 1
dont 1
drago 3
dragonstar 1
dying 1
escape 1
falls 1
faraday 1
find 2
finding 1
for 1
forgive 1
given 1
groves 1
halfway 1
has 2
hawkchild 1
hawkchilds 1
he 5
him 4
horned 1
how 1
immediately 1
impatient 1
in 2
inheritance 1
into 1
is 1
it 5
know 1
malevolent 1
man 1
many 1
meanwhile 1
more 1
mother 2
nearly 1
not 2
notices 1
of 6
on 1
ones 1
oversight 1
power 2
prison 1
qeteb 1
raging 1
recognises 2
refuses 1
remains 1
return 1
sacred 1
sanctuary 3
saves 1
scour 1
screaming 1
slowly 1
some 2
sort 2
starson 1
still 2
stubbornly 1
talking 1
talks 1
tencendor 1
the 12
then 2
they 2
thinking 1
this 1
though 3
through 1
to 6
unaware 1
until 1
ur 1
use 1
wait 1
walks 1
wanted 1
was 2
when 1
who 2
wooden 1
