7410102
/m/0260txj
/m/0260txj
August Strindberg
1898
a 3
adventures 1
alchemical 1
also 1
although 1
and 10
are 2
artists 1
as 1
associates 1
at 1
attacking 1
attempts 1
attributing 1
be 1
beliefs 1
believes 1
believing 1
black 1
both 1
but 1
by 1
casting 1
children 1
circle 1
coheres 1
dabbles 1
daughter 2
delusions 1
distanced 1
diverges 1
edvard 1
enemies 1
experiments 1
fatalistic 1
fate 1
fears 2
forces 1
frida 1
friends 1
from 2
gauguin 1
german 1
god 1
guided 1
has 1
he 3
hell 1
hence 1
him 2
himself 1
his 12
historical 1
however 1
imagery 1
in 4
including 1
infernal 1
influence 1
introduced 1
is 1
isolated 1
isolation 1
journals 1
life 1
living 1
machines 1
magic 1
mania 1
most 1
munch 1
mysterious 1
mythology 1
narrative 1
narrator 1
newfound 1
novel 2
occult 1
of 3
often 1
on 1
one 1
or 1
origins 1
ostensibly 1
own 1
paris 1
parisian 1
paul 1
persecuting 1
persecution 1
point 1
prominent 1
published 1
returning 1
ridiculing 1
secrets 1
see 1
sees 1
sometimes 1
spell 1
spends 1
stolen 1
strindberg 5
studies 1
successfully 1
sweden 1
swedenborg 1
teachings 1
that 2
the 5
them 1
they 1
this 1
through 1
throughout 1
title 1
to 4
truth 1
uhl 1
vaguer 1
variably 1
when 1
which 1
wife 1
will 1
with 3
work 1
worsens 1
writers 1
