7780317
/m/026cvk3
/m/026cvk3
Boris Strugatsky

a 28
about 3
accidentally 1
accustomed 1
action 1
after 1
agree 1
agrees 2
alien 1
alive 1
all 1
alludes 1
along 1
also 2
always 1
an 6
and 36
anxious 1
apathetically 1
approach 1
approaches 1
are 6
area 1
arrests 1
arrival 1
as 6
assumed 1
astronauts 1
at 1
attacks 1
authorities 1
back 2
bamberga 2
bar 1
battling 1
be 1
because 2
becomes 1
befriends 1
behind 1
blatantly 1
board 1
borodin 2
breaks 1
brought 1
buildings 2
but 6
by 4
bykov 10
capitalistrun 1
capitalists 1
careers 1
carried 1
causes 1
cerberus 1
character 1
characters 1
cheer 1
chief 1
close 1
closer 1
clouds 2
collision 1
colonists 5
colony 1
communist 3
complicated 1
confused 1
contributions 1
convince 1
crew 2
crimson 2
currently 2
danger 1
dauge 2
day 1
death 1
debate 1
deceive 1
deposits 1
descended 1
descends 1
despaired 1
despite 2
destination 1
deteriorate 1
did 1
die 1
diona 1
direct 1
director 2
disappointed 1
disapproves 1
discovery 3
does 1
drill 1
drive 1
due 2
earth 4
einomia 2
elect 1
elevator 1
emergency 1
emphatically 1
engaged 1
even 1
evening 1
events 1
everyone 1
excited 1
expedition 1
expeditions 1
explains 1
exploration 1
fight 1
figure 1
film 1
find 2
first 1
flights 1
fly 2
food 2
for 6
form 1
formation 2
from 2
further 1
gets 3
getting 1
giant 1
give 1
gives 1
gladly 1
glamorous 1
go 2
goodbye 1
grisha 1
harassed 1
has 2
having 1
he 14
health 1
heroes 1
high 1
him 4
himself 1
his 10
hit 1
holds 1
hope 1
hospitalized 1
hotel 1
how 2
however 3
humanmade 1
hungarian 1
hungry 1
hunt 1
ideological 1
ignored 1
illness 1
important 2
in 12
inconveniences 1
initiative 1
injured 1
inspector 1
international 1
into 2
is 25
it 5
ivan 2
just 1
kill 1
known 1
krutikov 6
lack 1
lament 1
land 2
large 1
largescale 1
last 1
lead 1
leave 2
leaves 1
left 2
less 1
levels 1
life 2
like 1
likelihood 1
local 1
look 1
lot 3
lying 1
made 2
main 1
make 1
managed 1
many 1
mars 1
maximize 1
meanwhile 1
meet 1
meeting 1
meets 1
men 1
meteorite 2
mine 3
miners 5
mirzacharle 1
missed 1
mission 1
model 1
money 1
more 3
most 1
mother 1
movie 1
much 2
navigator 1
near 1
new 3
next 1
no 1
not 3
notices 1
novel 2
now 1
observatory 1
of 28
offered 1
old 1
on 12
one 4
opportunities 1
or 1
orders 2
others 2
out 5
over 2
overcrowded 1
overly 1
own 1
ownercumbartender 1
part 2
pearls 3
people 4
personal 1
physicists 2
picture 1
piloted 1
piloting 1
planet 1
planetoid 1
planetoids 1
planets 1
planned 1
planning 1
plans 1
ponders 1
port 1
portrayed 1
precious 1
prefabricated 1
prefer 1
premature 1
pressure 1
previous 1
problems 1
produce 1
profits 1
protest 1
protests 1
proud 1
provides 1
put 1
radiation 1
radio 2
raid 1
realize 1
reasonably 1
recent 1
relationships 1
remain 1
remember 1
replacement 1
research 3
researchers 2
rest 1
return 1
returned 1
returns 1
ride 3
ring 3
rings 3
risks 1
rock 2
rocket 2
role 1
rumors 1
run 1
runs 1
russian 3
safetyinspector 1
same 1
saturn 2
say 1
says 2
scientific 2
scientists 3
see 1
senior 2
serves 1
set 1
several 1
severely 1
shall 1
ship 2
shortages 1
should 1
sick 2
simple 1
simplifies 1
since 1
site 1
sixhours 1
sleep 1
slug 2
slugs 1
so 3
society 1
some 3
son 1
space 9
spaceport 4
spaceship 5
speeding 1
spreading 1
starts 1
station 4
stay 2
still 2
stop 3
stops 1
stressed 1
string 1
structures 1
successful 1
successfully 1
such 2
suggests 2
sum 1
supply 1
supposed 2
take 2
tells 3
than 2
that 14
the 77
their 2
them 6
themselves 1
there 6
these 1
they 7
think 1
thinks 2
this 2
to 43
too 2
tour 2
toward 1
town 1
transpluton 1
transport 1
travel 1
trip 1
true 1
truth 1
try 2
trying 1
turns 1
two 5
unique 1
unusual 1
up 4
urges 1
using 1
valuable 1
very 1
wanders 1
want 1
wants 1
was 2
watch 1
way 1
weapons 1
welder 1
were 4
what 1
when 1
where 1
while 1
who 2
will 2
wishes 1
with 4
work 3
workers 1
worksite 1
worth 1
would 1
years 1
yet 1
yields 1
young 3
yuri 16
yurkovksy 2
yurkovsky 15
zhilin 5
