7903158
/m/026jd_x
/m/026jd_x
Harry Harrison
1983
a 3
about 1
add 1
also 2
american 1
an 1
and 3
antique 1
around 1
at 1
be 1
been 1
before 1
black 1
book 2
both 1
bring 1
buying 1
by 1
called 1
case 1
centers 1
change 1
chase 1
civil 1
colonel 1
comes 1
conclusion 1
confederacy 1
cover 1
determines 1
discovered 1
discovers 1
during 1
easily 1
ensuing 1
era 1
experimental 1
firsthand 1
follow 1
for 1
from 1
giving 1
gold 1
gun 2
had 1
harmon 6
has 2
he 1
his 2
in 1
into 1
introduction 1
invented 1
investigate 1
is 2
it 1
justice 1
large 1
long 1
machine 1
mcculloch 7
military 1
modern 1
murders 1
must 1
mystery 1
of 5
opening 1
organization 1
originate 1
outcome 1
past 1
people 2
plans 2
prejudices 1
produced 1
pursuer 1
quantities 1
racist 1
secret 1
special 1
sten 2
such 1
the 18
theft 1
three 1
through 1
time 2
to 10
troy 1
try 1
up 1
used 1
victory 1
war 1
watchdog 1
wesley 1
what 1
when 1
which 1
why 1
with 1
worsens 1
yet 1
