7953967
/m/02vklkn
/m/02vklkn
Alice Walker
1976
160s 1
170s 1
a 4
abortion 1
achieve 1
active 2
activist 1
after 1
also 1
an 1
and 5
another 1
as 1
at 1
attached 1
attempts 1
becomes 4
believes 1
by 1
centers 1
civil 2
college 1
continues 1
deeply 1
far 1
fictitious 1
fight 1
financial 1
for 2
goes 1
has 1
have 1
he 1
held 1
her 2
hill 1
impregnates 1
in 5
involved 3
is 1
issues 1
later 1
life 1
longs 1
lynne 1
meridian 4
more 1
movement 2
on 1
onandoff 1
perhaps 1
personal 1
rabinowitz 1
reasons 1
relationship 1
rights 2
romantically 1
saxon 1
set 1
she 2
start 1
stay 1
struggle 1
student 1
success 1
the 6
they 1
though 2
time 1
to 4
together 1
truman 4
turbulent 1
unsuccessfully 1
while 1
white 1
who 2
with 2
woman 1
wrong 1
