7965037
/m/026lpx7
/m/026lpx7
Paullina Simons
2005
{"/m/02n4kr": "Mystery", "/m/0hwxm": "Historical novel"}
1 1
141 1
16 1
20 1
22 1
a 29
about 6
accidentally 1
across 1
actually 1
after 5
ago 1
ahead 1
aiming 1
alexander 22
alive 1
all 3
almost 1
also 1
always 1
amputated 1
an 2
and 31
anthony 10
anymore 2
anyone 2
are 5
arizona 1
arm 2
army 1
around 1
as 5
at 2
baby 1
bait 1
balkman 3
barrington 1
be 1
been 3
being 1
bench 1
blue 1
both 1
broke 1
builderarchitect 1
bus 1
but 1
buying 1
by 5
call 1
called 1
camp 1
can 1
captain 1
capture 1
care 1
caught 1
charles 2
cheating 1
children 5
choice 2
cold 2
colonel 1
comes 3
coming 1
communist 1
company 2
comrades 1
concentration 1
confesses 1
content 1
convicts 1
cooled 1
coroner 1
cream 1
dad 1
day 2
days 1
defense 1
despite 1
didnt 1
do 1
doctor 1
does 2
dont 1
dreamed 1
drink 1
dudley 4
each 4
eagle 1
earns 1
eating 1
eight 1
eighteen 1
else 1
ended 1
ends 1
enemy 1
er 1
escaped 2
evening 1
everything 2
executed 1
face 1
fails 1
family 3
father 1
fearing 1
fight 1
figures 1
finally 2
find 2
finding 2
first 3
fish 1
following 1
for 8
forget 1
forgiving 1
found 1
four 1
friend 1
friends 1
from 4
gets 2
getting 1
girl 3
go 3
goes 2
going 1
gone 1
gordon 1
government 1
group 2
grown 1
ha 3
had 4
hammer 1
hand 1
happened 1
harry 2
has 8
have 7
having 1
he 16
head 1
heads 1
hear 1
hears 1
her 13
here 1
him 4
himself 2
hire 1
his 11
home 3
hospital 2
hot 1
house 1
houses 1
hurt 1
husband 2
i 1
ice 1
ii 1
illegal 1
in 12
initially 2
intelligence 1
into 1
introduces 1
is 13
it 3
janie 2
job 4
july 1
june 1
just 1
kill 1
know 2
knowing 1
known 1
lai 3
large 1
later 2
leningrad 1
letter 1
lieutenant 1
life 2
like 2
live 1
living 2
lobsterman 1
looking 1
losing 1
lot 1
lover 1
loves 1
made 1
make 2
making 1
man 2
married 2
matters 1
media 1
meet 1
meets 1
member 1
memorial 1
met 3
military 1
missing 1
mom 1
moon 4
more 1
mother 2
move 2
moves 1
murderer 1
named 1
near 1
never 2
no 1
nobody 1
north 2
not 4
novel 2
now 1
numbers 1
nurse 1
of 11
off 1
on 5
once 2
one 1
other 3
others 1
out 4
outsiders 1
own 2
parents 1
pasha 2
passes 2
past 1
peace 1
people 1
persuading 1
phoenix 3
phones 1
place 3
police 1
pregnant 2
process 1
protesting 1
rape 1
realise 1
realising 1
reconcile 1
relationship 1
reminiscent 1
reported 1
rescue 1
rescues 1
returning 1
revealed 1
revealing 1
richter 4
right 2
romantic 1
ruined 1
safety 1
satisfactory 1
say 1
saying 1
schutzstaffel 1
scottsdale 1
search 1
second 1
seeing 1
seem 1
sees 1
self 1
sent 1
separated 1
sex 1
she 8
shoots 1
shows 1
shura 1
si 3
sickle 1
since 2
sitting 1
six 1
skips 1
slit 1
smelling 1
so 1
somehow 1
son 4
sort 1
stab 1
stands 1
staring 1
starts 1
steve 7
still 1
storms 1
strangers 1
street 1
sunday 1
supposedly 1
swastika 1
talking 1
talks 1
tania 1
tatiana 12
tattoos 1
tearfully 1
tell 1
tells 1
terminal 1
thanksgiving 1
that 12
the 32
their 6
them 5
then 4
they 12
theyve 1
thigh 1
things 1
think 1
thinks 1
thirty 1
those 1
though 1
threatening 1
three 1
throat 1
tightlipped 1
time 3
to 27
together 1
tom 1
trap 1
travels 1
tricked 1
tries 1
trying 2
turned 1
twelve 1
two 2
up 1
us 1
usa 1
using 1
very 1
vietnam 3
vietnamese 2
vikki 3
visits 1
wanted 1
wants 1
war 1
ward 1
warms 1
was 5
washington 1
watching 1
way 2
weeks 1
were 2
what 1
when 4
while 1
who 4
why 1
wife 2
with 7
without 1
working 1
world 1
worse 1
would 1
years 7
yet 1
you 1
yuma 1
