7975778
/m/026m3fr
/m/026m3fr
Paule Marshall

{"/m/02xlf": "Fiction"}
10 1
181 1
a 6
about 2
accounting 1
acquiesces 1
action 1
additionally 1
age 1
also 1
and 14
another 1
anyone 1
are 1
as 4
asks 2
assume 1
autobiographical 1
back 1
barbadian 2
barbados 1
been 1
being 1
beryl 2
best 1
book 2
books 1
both 1
boyce 4
brooklyn 1
brownstone 1
by 2
can 2
candy 2
character 1
characters 1
chastised 1
clean 1
coming 1
cramps 1
dad 1
deighton 3
depression 1
describes 1
development 1
did 1
directly 1
discussion 1
doesnt 1
during 1
early 1
entertain 1
extreme 1
family 3
fantasizes 1
father 2
fear 1
finds 1
focuses 1
for 1
frequently 1
friend 1
frivolous 1
from 1
gain 1
getting 1
gives 1
great 1
growth 1
has 2
he 3
her 12
herself 1
home 2
hopes 1
house 2
hypersexualized 1
if 1
ii 1
immigrants 1
in 10
ina 3
include 1
into 1
is 2
it 2
job 1
knows 1
land 1
later 1
learn 1
left 1
life 1
live 2
lives 1
male 1
maritze 1
mary 1
menstrual 1
miss 2
money 1
most 1
mother 4
neighborhood 2
not 2
occupied 1
of 6
older 2
on 4
opens 1
or 1
pages 1
parents 1
park 1
plot 1
poverty 1
primary 1
puberty 1
racism 1
reached 1
recognition 1
rented 1
rents 1
reprinted 1
room 1
runs 1
seeing 1
sees 1
selina 11
she 3
shop 1
sick 1
silla 1
sister 2
skeete 1
some 2
somewhat 1
spinster 1
stern 1
stop 1
story 1
struggles 1
studying 1
suffer 1
suggie 2
talk 1
tell 2
tells 2
that 3
the 18
their 1
then 1
thompson 1
to 7
understandably 1
until 2
up 1
upstairs 1
used 1
visitors 1
want 1
war 1
was 1
way 1
we 2
well 2
what 1
which 1
white 2
who 2
widespread 1
with 1
woman 3
working 1
world 1
