8585732
/m/0278yn4
/m/0278yn4
Tim Winton

a 9
after 1
age 1
alone 1
an 2
and 6
apparent 1
are 1
as 1
awakes 1
beach 2
becomes 1
been 1
before 1
between 1
book 1
burning 1
but 1
by 3
camp 1
camping 3
characters 1
childhood 1
coming 1
considerable 1
describes 1
details 1
dialogues 1
distinct 1
down 1
drops 1
end 1
falling 1
final 1
form 1
friend 1
fuel 1
had 1
having 3
her 1
his 4
home 1
hut 1
in 9
inside 1
into 1
is 4
it 4
jerra 8
kombi 2
large 1
lateteen 1
life 1
living 1
man 4
mans 1
many 1
match 1
meet 1
murdered 1
named 1
near 1
nearby 1
nilsam 1
novel 2
of 5
old 4
on 4
one 1
open 1
opens 1
paragraph 1
paragraphs 1
part 1
parted 1
parts 1
passed 1
presumably 1
progresses 1
results 1
returned 1
returns 2
running 1
saved 1
scattered 1
sean 3
set 1
shack 2
similar 1
site 2
sleeping 1
spontaneous 1
storm 2
story 1
subplots 1
swimmer 1
taken 1
tank 1
that 1
the 15
their 1
them 1
there 1
this 2
three 1
throughout 1
to 2
tree 1
trip 2
unnamed 1
van 1
violent 1
ways 1
which 1
while 1
wife 1
with 2
young 1
