8730025
/m/027glz8
/m/027glz8
Richard Flanagan
2001
{"/m/05hgj": "Novel"}
a 1
account 1
and 1
at 1
book 1
both 1
buelow 1
chapter 1
convict 1
cowfish 1
crayfish 1
crested 1
diemen 1
dory 1
during 1
eel 1
elsewhere 1
fictionalised 1
fish 3
freshwater 1
gould 2
harbour 1
his 1
in 1
is 1
kelpy 1
land 1
leatherjacket 1
life 2
macquarie 1
of 2
porcupine 1
potbellied 1
sawtooth 1
seadragon 1
seahorse 1
serpent 1
shark 1
silver 1
stargazer 1
striped 1
the 14
titles 1
twelve 1
van 1
weedfish 1
weedy 1
william 1
