8753233
/m/027hhn9
/m/027hhn9
Sharyn McCrumb

a 13
about 2
affected 1
ala 1
all 1
also 1
an 2
and 6
appin 1
are 3
as 2
asked 1
at 6
author 1
be 1
being 1
bimbos 1
boat 1
book 1
books 1
bullet 1
but 3
buying 1
by 3
coguest 1
companion 1
con 2
confession 1
contest 1
convention 1
corrals 1
cover 1
crew 1
dc 1
death 1
diminished 1
dr 1
dungannon 3
electrical 1
engineering 1
english 1
equally 1
everyone 2
everything 1
familiar 1
fans 3
fantasy 2
female 1
fiction 4
fictional 1
folk 1
for 2
from 1
game 1
given 1
going 1
guests 1
guides 1
had 2
hamlet 1
hard 1
hardcore 1
hardly 1
has 1
have 1
he 1
heart 1
hero 1
him 1
his 5
honor 2
huckster 1
in 3
intellect 1
into 1
is 6
it 4
james 1
jay 1
judge 1
kill 1
killed 1
literature 1
lost 1
lot 1
making 1
marion 1
mega 4
members 1
more 1
motive 1
name 1
no 1
noted 1
novel 3
o 1
of 7
offend 1
omega 1
one 2
opportunity 1
out 1
pen 1
place 2
point 1
police 1
professor 2
publisher 1
radiation 1
react 1
retitled 1
roleplaying 1
room 1
rrated 1
rubicon 1
runewind 1
science 3
sea 1
seems 2
sf 1
she 1
signature 1
sing 1
skye 1
so 1
somewhat 2
song 1
space 1
star 1
station 1
suburbs 1
such 2
sun 1
surprising 1
suspects 1
takes 1
taking 1
tech 1
that 1
the 15
their 1
they 1
things 1
through 2
to 4
tratyn 1
troubles 1
tunes 1
under 1
up 1
virginia 2
was 1
washington 1
well 1
when 1
which 1
who 1
whose 1
with 2
works 1
world 1
written 1
