8973641
/m/027rwbt
/m/027rwbt
Brian Cleeve
1952
{"/m/05hgj": "Novel"}
a 14
abandonment 1
about 2
added 1
again 1
aimless 1
all 2
always 1
and 11
apparently 1
are 1
around 1
as 5
astrological 1
at 1
away 1
background 1
bay 1
becomes 1
before 2
being 1
bid 1
black 2
boarding 2
bottles 1
brendan 9
bride 1
brother 1
brotherinlaw 1
buying 1
by 3
byroads 1
children 1
circus 2
comes 1
couple 1
courtney 1
decide 1
decided 1
decrepit 1
desperate 1
despite 1
destiny 1
dockside 1
dublin 2
eldest 1
ends 2
england 1
erika 7
escape 1
escapes 1
estranged 1
even 1
eventually 1
existence 1
eyes 1
fallen 1
family 4
far 1
feckless 1
find 1
first 1
focuses 1
followed 1
following 1
for 1
fortuneteller 1
friends 1
from 3
getting 1
grinding 1
guests 1
hairdressing 2
handtomouth 1
hang 1
has 8
he 7
her 2
hills 1
him 2
his 7
home 1
hotdog 1
house 1
how 1
however 1
imagines 1
in 10
income 1
into 3
ireland 2
irish 1
is 6
jimmy 5
join 2
just 2
landlady 1
languish 1
leave 1
leaving 1
less 1
life 1
live 1
lived 1
lives 1
living 1
losers 1
love 1
malicious 1
man 1
market 1
mcdonald 5
mcdonalds 1
meanwhile 1
meet 2
missing 1
money 1
mother 2
new 1
novel 2
obrien 1
of 10
old 1
on 2
one 1
only 1
opportunity 1
or 1
out 1
own 2
party 1
paterfamilias 1
perfume 1
peripatetic 1
pier 1
place 1
poverty 1
predictions 1
rebel 1
recaptured 1
receive 1
reception 1
relatives 1
rescues 1
retribution 1
return 1
rory 1
run 2
rural 1
sails 1
salon 3
same 1
school 1
scion 1
scrapes 1
see 1
selling 1
sells 1
sends 1
serendipitously 1
set 1
sheep 1
ship 2
sister 1
small 1
sold 1
something 1
somewhere 1
son 1
soon 1
source 1
stay 1
stolen 1
succession 1
surveys 1
takes 1
than 1
the 24
their 3
them 1
they 1
three 2
through 1
to 9
tow 1
travelling 1
trouble 1
turning 1
up 2
wanders 1
wares 1
watches 1
we 1
wealthy 1
wedding 1
which 5
who 3
whose 1
with 3
working 1
would 1
young 2
younger 2
