9170817
/m/027_1p3
/m/027_1p3
A.J. Healy

1 1
11 1
25 1
4 1
5 3
a 23
abducted 1
able 1
about 5
abusing 1
abyss 6
academy 1
accompany 1
according 1
across 1
adored 1
adults 1
advanced 1
after 4
afterwards 1
again 1
against 1
ago 1
agrees 1
all 1
allowed 1
almost 1
along 1
also 2
although 1
an 5
and 29
announces 3
another 2
apocalype 1
apocalypse 1
appending 1
approaches 1
are 8
arms 3
around 2
arrival 1
as 9
at 8
attached 1
attack 1
awarded 1
away 1
back 4
backwards 1
banging 1
bath 1
be 9
beardedmoustachedwisefaceoh 4
because 3
been 3
behind 1
being 2
believed 2
believes 1
bend 1
bending 2
between 1
big 1
boards 1
bonny 1
book 1
boy 4
bring 3
brings 3
broke 2
bullied 1
buried 1
burning 1
but 2
by 6
cabinet 1
calamity 1
can 3
cannot 2
catch 3
categories 1
caught 1
cause 1
centre 3
children 3
choice 1
choose 2
chooses 2
chosen 3
clive 1
closed 1
clue 1
coffin 1
collide 1
collided 1
come 2
competitions 2
condition 2
conditions 1
could 3
council 6
course 1
courses 1
covering 1
cross 1
crossed 1
crosses 1
dangerous 1
darkness 1
dead 3
deadline 1
decide 1
decides 1
decision 1
delay 2
deputy 1
destroy 3
destroyed 2
did 2
die 1
dies 2
different 3
disqualified 1
divingboard 1
do 4
doctors 2
doesnt 3
door 2
down 1
draws 1
during 1
each 6
earn 1
earth 16
earthlings 1
eight 1
eighth 1
either 1
elder 1
elevator 1
elsorr 2
encounters 1
end 4
ends 2
enough 1
entered 1
entering 1
enters 1
even 1
eventually 1
every 2
everything 1
exactly 1
extremely 1
eyes 1
fall 1
falls 1
far 2
faster 2
favourite 1
federation 1
felkor 4
fell 1
fifth 1
fight 1
final 1
finally 1
find 1
fires 1
first 5
five 2
folk 1
follow 1
for 7
forces 1
found 1
four 1
from 6
full 1
future 1
gerty 1
get 2
getting 1
gibbledibbleblast 1
give 1
given 1
go 2
going 3
good 1
grand 6
grounded 1
group 14
groups 4
growsssgoo 1
guttly 2
had 4
happy 1
has 3
have 5
he 25
heading 1
headmaster 1
hear 1
heart 1
her 2
here 1
herself 1
him 11
himher 1
his 20
history 1
hits 1
how 3
if 2
in 16
innerlath 1
inside 1
interrupted 1
invitation 1
is 21
it 16
its 1
just 2
killed 1
killing 1
knocks 1
know 1
known 2
knows 2
last 3
late 1
later 1
leader 1
learn 2
learns 2
leave 1
left 1
legend 2
legs 3
life 2
light 2
like 2
locks 1
long 2
looks 1
lord 4
loser 1
loves 2
managed 1
many 1
marielle 1
master 4
masters 6
maudlin 7
meanwhile 2
medal 1
medals 1
meets 1
members 1
meteor 3
milki 10
milky 2
milkyfed 5
misses 1
mission 2
more 3
mr 2
must 3
name 2
named 1
new 1
night 2
no 3
nobody 1
not 4
notice 1
notices 1
obliterated 1
of 29
old 1
on 8
one 12
only 2
open 1
or 1
order 1
other 3
out 3
overpowers 1
own 1
parents 4
participants 1
people 2
perfect 1
period 1
person 3
placed 1
planet 1
planets 2
plank 6
poem 1
points 3
popular 1
power 2
prepare 1
president 4
pretended 1
prison 1
privately 1
put 1
randolph 9
rank 1
ranked 1
ready 1
really 2
receive 1
recognise 1
recognised 1
referring 1
regardless 1
returning 1
returns 3
revealed 2
reveals 2
room 4
rotation 1
rule 1
rules 2
rumbles 3
runway 1
said 1
same 1
saved 1
saw 1
say 2
saying 1
school 5
schools 1
score 1
second 2
secret 1
see 1
seeing 1
seem 1
seems 1
selfdefence 1
sent 2
set 1
shaft 1
shall 1
she 3
shot 1
should 1
sickowarpo 1
side 2
so 9
some 1
someone 3
something 3
soon 1
soundproof 1
space 1
spaceship 1
species 1
speed 3
stab 1
stabs 1
stagwitch 2
stands 1
stating 1
stay 1
step 4
steps 2
still 1
stole 1
stop 1
storm 3
stronger 1
students 1
such 1
surprisingly 1
swiggy 5
sword 2
take 2
taken 1
takes 3
talked 1
tells 5
terrible 2
tests 1
tfc 4
than 3
that 15
the 87
their 5
them 9
themselves 1
then 9
there 1
they 13
theyre 2
things 2
this 3
though 1
thought 2
threatens 1
three 1
through 1
time 5
tis 4
to 54
tommy 23
top 3
towards 1
training 8
try 7
turn 2
turns 1
two 4
universe 1
until 3
up 5
upon 1
walk 3
walks 1
want 1
was 5
watches 1
way 2
were 2
what 4
when 5
while 1
who 5
wife 1
wighole 1
wigholes 1
wilchester 1
will 6
win 2
winning 1
with 6
withers 2
without 2
won 1
wood 1
woozie 2
work 1
would 1
wound 1
you 10
younger 1
your 1
