349537
/m/01z2td
/m/01z2td
Jack London
1904
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel", "/m/0c3351": "Suspense"}
a 19
aboard 1
above 1
act 1
adequately 1
adrift 2
afford 1
after 2
again 1
against 1
aid 1
all 2
allows 1
also 1
american 1
an 7
and 36
another 2
any 2
are 1
arm 2
as 8
assailant 1
at 4
attack 1
attempt 2
attempted 1
attempts 1
attraction 1
back 1
bay 1
be 1
bear 1
beaten 1
become 3
been 3
being 6
believe 1
beneath 1
biased 1
bitter 1
blind 2
boat 2
boatpuller 1
body 1
both 1
boy 1
brewster 7
bribed 1
bring 1
brother 2
brutal 2
brutality 1
build 1
bunk 1
burial 1
but 3
by 8
cabin 1
call 1
called 1
calls 1
can 1
cannot 1
cant 1
capable 1
captain 1
care 2
case 1
castaways 1
chance 1
claiming 1
climb 2
collides 1
come 1
condition 1
constantly 1
continues 1
convenience 1
conviction 1
crashes 1
crew 10
cruelty 1
cutter 1
cynical 1
days 1
death 3
decide 1
deck 1
delicacy 1
demonstrating 1
deny 1
describes 1
despise 1
despite 1
destroyed 1
die 1
dies 1
disputes 1
do 1
does 2
domesticated 1
done 1
draws 1
due 1
during 4
each 1
earlier 1
earliest 1
ends 1
endurance 1
escape 1
event 1
eventually 3
exceptionally 1
exit 1
exposure 1
feel 1
feigns 1
female 1
ferry 1
fight 2
fill 1
finds 1
finishes 1
fire 2
firearms 1
first 3
flee 1
flees 1
fog 1
for 5
forced 3
forcing 1
francisco 1
from 2
gained 1
gets 1
ghost 5
give 1
going 1
great 1
had 5
hanging 1
happens 1
has 1
he 19
headache 1
headaches 1
heavily 1
hedonist 1
her 4
highly 2
him 11
himself 1
his 21
hit 1
horrors 1
however 2
human 1
hump 1
humphrey 1
hunt 1
hunting 2
immediately 1
immobile 1
immortality 1
in 9
incident 1
including 1
individualist 1
inhuman 1
intellectual 3
intelligence 1
intelligent 1
intends 1
intense 1
interested 1
into 2
is 10
island 3
it 1
its 1
johnson 3
just 1
key 1
kidnapped 1
kindness 1
known 1
ladder 2
land 1
larsen 23
later 2
leach 3
learn 1
least 1
leave 1
leaves 1
left 1
leg 1
life 2
like 1
located 1
lose 1
loses 1
lost 2
love 1
main 1
make 1
man 1
manages 2
martinez 1
mate 2
materialist 1
mattress 1
maud 1
meaning 1
meet 1
meets 1
member 1
members 1
men 2
menial 1
mirroring 1
miss 6
motivating 1
murder 3
murdered 1
mutiny 3
named 2
near 1
no 1
not 2
novel 1
obtains 1
of 17
off 1
on 6
one 1
only 4
onto 1
opinions 1
opponent 1
organizers 1
original 1
other 1
over 1
overboard 1
own 1
paralysis 1
paralyzed 1
part 1
physical 1
picked 1
picks 1
pleasure 1
poet 1
populated 1
previously 2
previouslybut 1
promoted 1
protagonist 1
protect 2
punched 1
purely 1
quarters 1
ranks 1
reach 1
relatively 1
remaining 1
render 1
rendered 1
repair 1
repairing 1
repairs 1
rescued 2
resistance 1
revenge 1
revenue 1
right 1
rot 1
rules 1
sabotages 1
sail 1
sails 1
san 1
save 1
schooner 1
sea 5
sealhunting 1
seals 1
searching 1
season 1
section 1
sees 1
selfreliant 1
selftaught 1
sending 1
servitude 1
set 4
setting 1
seven 1
several 5
severely 1
shelter 1
ship 5
side 1
sinks 1
sleeping 1
soft 1
someone 1
somewhat 1
soul 1
starts 1
steals 1
storm 2
story 4
strength 3
strives 1
stroke 1
survival 1
survive 1
take 2
takes 1
tells 1
terrorizes 1
that 3
the 48
them 3
themselves 1
then 1
they 6
this 4
though 1
threaten 1
through 1
to 25
torturing 1
tough 1
tracked 1
true 1
two 3
unable 1
unharmed 1
uninhabited 1
up 2
usage 1
using 1
value 1
van 15
vengeance 1
ventures 1
violent 1
voice 1
was 2
way 1
weyden 15
when 3
which 2
while 3
who 2
whom 1
wild 1
with 10
within 1
witnessed 1
wolf 10
work 1
worsens 1
writers 1
yet 1
