9993483
/m/02pz455
/m/02pz455
Shobha De
1996
{"/m/05hgj": "Novel"}
a 6
about 1
after 1
ambitious 1
american 1
an 1
and 4
arranged 1
background 1
be 1
begins 1
betrayal 1
but 1
by 1
calcutta 1
charming 1
collegegoing 1
completely 1
confines 1
conservative 1
degree 1
desires 1
determined 1
discovers 1
dull 1
eager 1
escape 1
experience 1
family 1
finds 1
for 1
friendship 1
girl 1
glamour 1
great 1
handsome 1
has 1
her 4
herself 1
home 1
ideal 1
in 2
indifferent 1
is 4
leading 1
loneliness 1
love 2
man 2
marriage 2
maya 2
middleclass 1
moves 1
mumbai 2
neighbor 1
nikhil 1
of 2
pretty 1
ranjan 1
rigidly 1
second 1
she 4
stifled 1
story 1
strikes 1
suburban 1
the 3
thoughts 1
to 7
trapped 1
university 1
up 1
wealthy 1
where 1
who 3
wife 1
with 1
