10044024
/m/02p_ymm
/m/02p_ymm
John Scalzi
2006
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
a 3
also 1
and 2
are 1
as 1
boutin 1
brigades 1
character 1
characters 1
charles 1
consciousness 1
deal 1
dirac 1
find 1
forces 1
from 1
ghost 1
harry 1
has 1
hasnt 1
he 3
himself 1
in 1
instilled 1
is 4
jane 1
jared 2
known 1
life 1
lived 1
main 1
man 1
member 1
memories 1
narrative 1
of 3
old 1
only 1
out 1
primary 1
really 1
returning 1
sagan 1
special 1
the 5
this 1
to 2
traitor 1
trying 1
war 1
while 1
who 1
wilson 1
with 2
