10113468
/m/02q27l3
/m/02q27l3

1979
{"/m/03npn": "Horror"}
1 1
15yearold 1
163 2
178 1
2 1
3 1
34 1
34i 1
34i3m 1
34occurrences34 1
34sanitarium34 1
34we3re 1
34what 1
34who 1
4 1
a 23
about 3
act 1
additionally 1
admitting 1
after 1
all 1
already 1
also 1
and 31
animal 1
another 2
anything34 1
apparently 1
are 4
armor 1
around 2
as 5
aside 1
asked 1
asks 2
at 9
attacks 1
attempting 1
aware 1
awful 1
back 1
be 1
because 1
becomes 1
been 1
begun 1
being 1
between 3
blonde 2
bogeyman 1
bonfire 1
books 1
borrowed 1
boy 4
breathed 1
brutally 1
burning 1
but 2
buyers 1
by 2
can 1
celtic 2
challenge 1
chapter 4
children 2
circle 1
clown 1
clown34 1
comic 1
commands 1
committed 1
community 1
companion 1
concerned 2
conversation 1
costume 1
costumes 1
couple 1
creaky 1
crowd 1
cursed 1
curtain 1
dancing 2
danny 1
dare 1
dark 1
daughter 2
dawn 2
day 1
days 1
dealing 1
defy 1
deirdre 3
details 3
directlya 1
disappeared 1
discussion 1
disfigured 1
do 1
doing 2
don3t 1
done 1
door 4
down 1
dr 1
dreams 1
dressed 1
drinking 1
during 1
each 1
earth 2
edith 2
eerie 1
enda 4
enough 1
entered 1
eve 1
even 1
event 1
events 2
eventually 1
ever 1
every 1
experiences 2
eyes 1
fancied 1
father 1
fear 1
fell 1
ferocity 1
fianc 1
fifteen 1
figure 1
fire 1
first 1
flash 1
floor 1
foggy 1
followed 1
for 5
forever 1
forevermore 1
forgot 1
forward 1
fracturing 1
frighten 1
frightened 1
from 2
front 1
further 2
futile 1
game 1
gaze 1
get 1
girl 3
give 1
given 1
gives 1
going 2
goodies 1
got 1
gradually 1
grandmother 5
greatgrandfather 1
grove 1
gwynwyll3s 1
had 6
halloween 3
hands 2
happened 2
has 2
hate 1
hating 1
hatred 1
having 1
he 13
head 3
hearing 1
heavily 1
her 13
herself 1
him 2
hinting 1
his 8
home 1
hoping 1
horror 1
hospitalized 1
house 2
huge 1
humiliated 1
i 2
i3m 1
if 1
immediately 1
in 19
incredible 1
infamous 1
inmate 1
inmates 1
inside 2
insight 1
interactions 1
into 2
intrigue 1
ireland 2
is 8
it 13
its 1
jealousy 1
judith 1
judy 3
key 2
kill 1
killed 1
king 1
knock 1
knuckle 1
later 3
laugh 1
laurie 4
learns 1
leather 1
life 2
like 2
little 1
look 2
looked 1
looking 1
loomis 3
love 3
madly 1
mat 2
maybe 1
me 1
member 1
members 1
memory 2
michael 18
michael3s 7
might 1
mind 1
month 2
mother 1
myers 4
myerswas 1
named 1
neighborhood 1
neither 1
never 2
night 3
nightmares 1
no 1
nor 1
northern 1
not 1
novel 1
now 1
nurse 1
observed 1
of 14
offending 1
old 1
on 6
once 1
one 2
opens 1
or 4
other 5
particular 1
passionately 1
pathetic 1
peered 1
pelvis 1
people 2
people34 1
person 1
personality 1
pictures 2
place 4
places 1
point 2
pretty 1
problem 1
prologue 2
prospective 1
protect 1
pushed 1
quarreled 1
race 2
raised 2
rash 1
raspingly 1
reader 1
real 2
realestate 1
receive 1
recreating 1
remembered 1
reminds 1
replied 1
replies 2
responds 1
retribution 1
return 1
ritual 1
room 1
said 1
samhain 1
savagery 1
say 1
says 1
second 1
seenoh 1
sees 1
sentencing 1
several 1
severely 1
shadowy 1
she 5
shocked 1
show 1
sidled 1
similarities34 1
sister 1
skins 1
slays 1
slighted 1
slim 1
smith3s 1
so 2
some 6
sort 1
soul 1
staff 2
stairs 2
started 2
stirred 1
stood 1
story 1
strange 3
strode3s 1
suddenly 1
suffered 1
swiftly 1
take 1
taken 1
takes 1
targets 1
tattered 1
television 1
tell 1
tells 3
that 12
the 58
them 1
then 1
there 2
they 3
think 1
through 1
time 2
to 18
toss 1
transformation 1
trapped 1
trial 1
trickortreating 2
trod 1
turned 1
two 1
unbeknownst 1
under 2
undescribed 1
until 1
up 4
upon 1
vale 1
vengeance 1
vicious 1
view 1
village 1
violent 1
visions 1
visited 1
voice 2
voices 2
walked 1
wander 1
ward 1
was 6
watched 2
way 1
we 2
week 1
what 1
when 2
where 1
which 3
while 1
who 5
wildly 1
willowy 1
win 1
window 1
with 11
witness 1
wreaking 1
years 1
you 2
you34 2
young 2
