10445355
/m/02qdcml
/m/02qdcml
Bruno Schulz


a 6
abilities 1
abounds 1
all 1
allusions 1
also 1
and 5
are 1
artistically 1
as 2
between 2
boy 1
but 1
by 4
character 2
characteristic 1
characters 1
clearly 1
collection 1
death 1
demiurge 1
depiction 1
despite 1
discovering 1
displayed 1
distorted 1
domains 1
dreamlike 1
drohobycz 1
eagerly 1
eg 1
elements 1
endowed 1
enriched 1
exotic 1
experimenter 1
family 2
fascination 1
father 2
frequently 1
from 1
galician 1
great 1
he 1
head 1
him 1
home 1
imaginary 1
imagination 1
in 5
introduced 1
is 4
it 2
jzef 1
labyrinth 1
life 1
literary 3
living 1
mad 1
many 2
marketplace 1
means 1
merchant 2
more 1
most 1
motif 1
mythical 1
mythologized 1
myths 1
narrator 1
not 1
occurring 1
of 12
one 1
only 1
other 2
own 1
possible 1
processed 1
protagonist 1
real 1
reality 2
references 1
renders 1
resembles 1
respects 1
running 1
schulz 2
shop 1
significant 1
small 1
story 2
superhuman 1
surrounds 1
tells 1
textile 1
that 1
the 24
this 1
thus 1
to 3
town 2
traits 1
visible 1
visionary 1
well 1
which 1
who 2
with 2
work 2
works 1
world 2
writer 2
young 1
