10550854
/m/02qhkfn
/m/02qhkfn
Barbara Siegel
1990-11
a 3
after 1
and 6
are 1
as 2
autumn 1
back 1
before 1
brandella 1
bring 1
but 1
can 1
clotnik 1
dragons 1
dwarven 1
dying 1
evil 1
father 2
find 1
fire 1
five 1
for 1
gods 1
grass 1
he 1
help 1
her 1
heroes 1
him 1
his 2
human 1
in 4
injured 1
is 2
juggler 1
kispha 2
lance 1
lead 1
leaves 1
long 1
longlost 1
look 1
mage 2
manage 1
memory 1
new 1
of 3
offers 1
on 1
own 1
promise 1
returning 1
save 1
saves 1
set 1
shadow 1
signs 1
solace 1
split 1
stirring 1
tanis 3
that 1
the 9
themselves 1
they 1
to 3
trapped 1
twilight 1
up 1
way 1
where 1
with 1
world 1
years 2
