10863031
/m/02qsc7w
/m/02qsc7w
Meg Cabot
2008-12
{"/m/03mfnf": "Young adult literature"}
a 9
about 3
accepted 1
adult 1
after 2
afterwards 1
again 3
against 1
alias 1
all 4
also 3
an 4
and 16
anything 1
apart 1
appears 1
applied 1
are 1
at 1
back 2
became 1
because 1
become 2
becoming 1
been 2
before 2
birthday 1
book 3
breaks 1
building 1
but 2
cardioarm 1
college 1
complicated 1
condition 1
cousin 1
dating 1
deal 1
decides 1
did 1
didnt 1
does 1
doesnt 1
down 1
drain 1
eighteen 1
eighteenth 1
election 1
end 2
ending 1
every 1
everyone 2
everything 1
extravagant 1
fame 1
father 1
fears 1
feel 1
few 1
final 1
for 3
forgetting 1
friends 1
friendship 1
from 2
genovian 1
get 1
getting 1
go 1
goes 2
going 1
graduation 3
grandmere 1
hadnt 1
has 6
have 2
he 3
helping 1
her 17
him 1
his 2
hit 1
huge 1
improvements 1
in 10
is 6
isnt 1
it 4
join 1
jp 5
keeping 1
lana 1
last 1
later 1
lawrence 1
learns 2
leave 1
leaves 1
lie 1
lied 1
like 1
lilly 4
lose 1
loses 1
love 2
made 1
major 1
man 1
mention 1
mia 7
michael 5
motives 1
near 1
never 1
ninth 1
no 1
not 3
novel 1
of 7
oil 1
olive 1
on 1
paper 1
party 1
planning 1
plans 1
progression 1
prom 3
published 1
ready 1
really 1
relationship 1
ren 1
rich 1
romance 1
royal 1
sarah 1
saying 1
school 1
see 1
series 1
set 1
sex 2
she 18
shown 1
so 1
sort 1
sounds 1
still 2
success 2
sudden 1
sure 2
takes 1
teenager 1
telling 1
tenth 1
that 4
the 8
then 2
this 1
throwing 1
to 14
told 2
touch 1
town 1
trying 1
turning 1
two 1
unclear 1
under 1
undying 1
unhappy 1
up 3
us 1
very 1
virgin 1
virginity 2
wants 1
was 3
we 2
week 1
weeks 1
which 1
while 2
whose 1
win 1
with 9
wrote 1
years 1
yet 1
young 1
