10979548
/m/02qx1ys
/m/02qx1ys
Jonathan Raban

{"/m/014dsx": "Travel", "/m/017fp": "Biography"}
182 1
32foot 1
40 1
4000 1
a 24
able 1
about 3
abstract 1
absurd 1
adds 1
admire 1
afflicted 1
age 1
aggressively 1
alien 1
all 1
almost 1
along 1
also 1
although 1
always 1
an 5
and 23
antique 1
any 1
anything 1
approach 1
are 9
argentian 1
around 2
arrogance 1
as 8
at 7
attitude 2
author 1
awe 1
bargainhunters 1
battering 1
baying 2
bayonets 1
be 2
beautiful 1
beautifully 1
becomes 1
bed 1
been 3
being 2
belloc 1
bitter 1
blood 1
bloodletting 1
board 1
boat 1
book 4
both 1
brighton 1
britain 6
british 3
brought 1
but 1
by 3
caste 1
challenge 1
chapter 1
character 1
characters 1
chart 1
childhood 1
children 1
church 1
city 1
class 1
coasting 1
coastline 1
come 1
comes 1
comfortably 1
commented 1
commons 1
compares 1
compass 1
condescension 1
contempt 1
country 1
courage 1
crafted 1
cross 1
current 1
days 1
debate 2
decay 1
decision 1
describe 1
describes 2
description 1
descriptions 1
detached 1
detailed 1
digressions 1
disgust 1
distinctions 1
divisions 1
does 1
dogged 1
dominance 1
dominant 1
down 1
dream 1
driver 1
during 1
eavesdropping 1
eccentric 1
encounters 1
england 2
english 2
englishmen 1
equally 2
erotic 1
extremely 1
falkland 2
falklands 1
famous 1
feat 1
feelings 1
felt 1
finally 1
fine 1
fleet 1
for 9
foreign 1
form 1
friendlier 1
from 1
furtive 1
going 1
gosfield 2
great 2
greatly 1
growning 1
guns 1
had 2
handbearing 1
has 3
he 10
hectoring 1
her 1
hierarchy 1
highly 1
hilaire 1
him 2
himself 3
his 12
homeland 1
hostile 1
house 1
how 1
however 1
hull 1
hypocritical 1
i 1
id 2
if 1
ikeminded 1
important 1
in 10
increasingly 1
influence 1
insights 1
insular 1
insularity 2
into 1
invaded 1
invasion 1
is 8
island 1
islanders 1
islands 1
isle 1
isles 1
it 7
its 2
jonathan 1
journey 1
joyce 1
just 1
ketch 1
known 1
knows 1
language 1
larger 1
larkin 1
later 1
leave 1
libido 1
life 1
like 3
listening 1
lived 1
look 1
loud 1
love 1
lyrical 1
made 2
maid 2
majority 1
make 1
man 1
manage 1
manx 1
many 1
margaret 2
marina 1
mcmullen 1
me 1
meeting 1
men 3
metaphor 1
middleton 1
midst 1
mile 1
minicab 1
minister 1
moneygrubbers 1
moored 1
morbid 1
most 2
mps 1
mrs 1
much 1
mulls 1
nanny 1
nastier 1
nation 2
national 1
negative 1
nursery 1
objectively 1
of 35
off 1
old 1
on 9
one 2
or 1
out 2
over 1
overheard 1
own 1
pack 1
paradox 1
part 2
particularly 1
parttime 1
passages 1
paul 1
pay 1
peculiar 1
peenies 1
penetrating 1
perceptive 1
personal 1
persuade 1
philip 1
philistine 1
point 2
power 1
practical 1
predecessors 1
prime 1
puzzled 1
raban 8
radio 1
ram 1
rather 3
reached 1
remarkable 1
reproduce 1
requires 1
researching 1
rest 1
restored 1
rigid 1
river 1
ructions 1
sailed 2
sailor 2
sakewhen 1
saying 1
scared 1
sea 2
seagoing 1
sees 1
sent 1
sex 1
share 1
sick 1
similar 1
singlehanded 3
smells 1
snobbishly 1
social 2
son 1
sound 2
sovereign 1
spank 1
stand 1
standing 1
state 2
stiff 1
story 1
stretch 1
student 1
subconscious 1
such 1
system 1
take 1
takes 1
taking 2
talking 1
talks 1
tastes 1
tea 1
territory 1
than 1
that 9
thatcher 4
the 57
thei 1
their 3
them 1
themfor 1
themselves 1
theoretical 1
there 1
theroux 1
they 5
this 1
though 1
till 1
time 3
to 17
towards 2
travelogue 1
treasuring 2
trousers 1
tunes 1
turns 1
two 2
under 2
up 3
uses 1
various 1
verbal 1
vicar 1
view 1
voice 1
voyage 2
war 1
was 2
wasnt 1
way 1
wedded 1
well 1
were 1
what 1
when 1
which 2
while 1
whilst 3
who 2
will 1
with 6
without 1
wolf 1
woman 1
women 1
words 1
working 1
workings 1
world 1
would 1
writing 2
written 1
yealm 1
