11280590
/m/02r654w
/m/02r654w
Mercedes Lackey
2005
a 9
abandoned 1
ability 1
about 2
ace 1
air 3
alison 3
all 1
already 1
an 5
and 11
another 2
appears 1
aristocrat 1
arts 1
as 3
ashes 1
at 1
attempts 1
awakens 1
be 1
became 1
because 1
become 1
becomes 1
before 1
beings 1
bloodfueled 1
boldness 1
book 1
bound 1
briefly 1
broken 1
by 1
combat 1
corps 1
crashed 1
creatures 1
dark 2
daughters 2
days 1
died 1
dr 1
dreams 1
during 1
earth 3
eleanor 4
element 1
elemental 3
enlisted 1
father 2
fearsome 1
fenyx 2
few 1
fiancee 1
fire 1
fly 1
flying 1
for 1
forgot 1
future 2
girl 1
godmother 1
great 3
had 2
he 7
hearth 1
her 7
him 2
his 1
however 1
in 7
instead 1
involves 1
is 5
ithe 1
killed 1
known 1
lawyer 1
loved 1
magic 2
main 1
man 2
marked 1
marry 1
master 2
maya 1
meanwhile 1
met 1
military 1
mother 1
named 3
nature 1
nobility 1
novel 1
of 7
one 1
opposite 1
oxford 1
particularly 1
people 1
personality 1
peter 1
phoenix 1
pilot 2
plot 1
practiced 1
reginald 6
remarks 1
remarried 1
rescued 1
ritual 1
robinson 1
royal 1
rubble 1
sarah 1
scott 1
series 1
serpent 1
set 1
shadow 1
showed 1
strange 1
student 1
studying 1
that 1
the 12
this 2
time 1
to 6
tormented 1
torturous 1
trapped 1
traumatized 1
true 1
tutelage 1
two 1
under 1
use 1
visit 1
war 4
was 6
when 2
which 1
while 2
who 4
with 1
witherspoon 1
woman 1
world 1
years 1
