11515110
/m/02rghhh
/m/02rghhh
John Webster

44 1
451 1
a 6
accepts 1
action 1
actually 2
advance 1
advocate 1
after 2
again 2
all 1
ambition 1
among 1
an 2
ancient 1
and 32
appalled 1
appius 23
apprehend 1
apprehended 1
are 3
army 3
arrives 1
as 2
at 3
attempt 1
authorities 1
away 1
back 2
backing 1
banishment 1
bce 1
be 2
becomes 1
before 5
belonging 1
betrother 1
bloody 1
body 1
bold 1
bondslave 1
bows 1
breaks 1
bridal 1
briefly 1
brings 3
but 6
by 10
camp 1
can 1
chains 1
claim 1
claims 1
claudius 3
close 1
closest 1
comic 1
commanding 2
commit 1
common 1
conceals 1
confesses 1
confront 2
confronted 1
confronts 1
considerations 1
continues 1
control 1
conversation 1
corbulo 1
courtroom 1
courts 1
covets 1
custody 1
cynically 1
daughter 4
death 2
debate 1
decemvirate 1
decemviri 1
deed 1
demands 1
die 1
directly 1
do 1
documents 1
does 1
downfall 1
drained 1
dressed 1
easily 1
emotionally 1
encourages 1
escapes 1
even 1
evidence 1
executed 1
exert 1
exploit 1
faced 1
fact 2
false 2
family 1
father 3
favor 1
feigns 1
field 1
first 1
follower 1
fool 1
for 7
force 1
forces 1
from 4
funeral 1
general 2
gifts 1
girl 2
go 1
goes 1
hand 1
hangman 1
has 3
hast 1
have 1
he 13
hearing 2
help 1
her 6
hereafter 1
high 1
him 2
himself 1
his 16
honor 2
horse 1
hostility 1
humility 1
hungry 1
icilius 10
if 1
impartiality 1
imprison 1
in 11
intertwined 1
into 1
introduces 1
is 17
its 1
join 1
justice 1
kill 1
killed 1
lacks 1
later 1
law 1
leads 1
learns 1
led 1
legal 1
letters 1
lictors 1
like 1
lust 1
lusts 1
makes 1
manages 1
marcus 12
market 1
masks 1
mdash 1
meets 1
membership 1
men 1
mercy 1
modesty 1
money 1
musicians 1
mutiny 2
my 1
nerve 1
not 2
numitorius 2
obtain 1
of 12
off 1
offered 2
office 2
on 1
once 1
only 2
opening 1
or 1
ordeal 1
outrage 1
outraged 1
outward 1
over 1
own 1
pardon 1
passionate 1
pauses 1
penalty 1
perjured 1
personality 1
plan 2
play 3
pleads 2
poor 1
populace 1
position 1
power 2
presents 1
pretense 1
prison 1
private 2
produced 1
promising 1
prostituted 1
protests 1
provokes 1
pursues 1
pursuit 1
puts 1
races 1
rather 1
ready 1
really 1
refusal 1
rejects 1
release 1
relief 1
resolve 1
results 1
return 1
returned 1
returning 1
reveals 2
rigged 1
roman 1
rome 5
rules 1
same 1
says 1
scene 2
second 1
see 1
seems 1
senate 5
sent 3
serenaded 1
servant 1
servants 1
set 1
she 6
shopping 1
show 1
shows 2
sight 1
slave 1
soldiers 2
spurring 1
stabs 1
stage 1
starts 1
state 1
stifle 1
streets 1
strengthened 1
suddenly 1
suicide 1
supplied 1
suspicion 1
swords 1
taken 1
tells 1
testimony 1
than 1
that 8
the 50
their 2
there 1
they 1
thinks 1
this 3
thou 1
threatens 1
through 2
time 2
to 33
toward 1
trial 2
tries 1
troops 2
turnd 1
two 2
uncle 1
unctious 1
unhappy 1
unworthiness 1
up 2
use 1
uses 1
virginia 12
virginius 12
warning 1
were 1
when 3
where 1
which 2
while 1
who 1
will 1
win 1
wins 1
with 5
word 1
words 1
would 1
yet 1
